Sales,prev_sales,Store_sales_rating,store_visiblity,Road_connectivity,Prime_location,Seating_area,sqft_area,yr_establishment,Cus_rating,Type1,times,Type2,times,Type3,times,Type4,times,Type5,times,Comp_Score,Product_type,product_placement,Product_size,product_visiblity
80000,72000,0,0.066,1,0,0,530,1982,5,-10,1,-8,6,-6,1,-4,1,-2,5,-0.26,3,2,9,0.043
81000,73710,1,0.162,1,0,0,830,2013,5,-10,0,-8,8,-6,2,-4,2,-2,1,-0.286666667,7,2,5,0.073
82000,78720,0,0.052,1,0,0,960,1954,3,-10,0,-8,8,-6,7,-4,9,-2,6,-0.513333333,5,9,8,0.086
82500,66825,1,0.154,1,0,0,620,1951,3,-10,8,-8,9,-6,7,-4,2,-2,10,-0.74,10,5,2,0.052
83000,75530,0,0.083,1,0,0,1000,1988,5,-10,7,-8,5,-6,1,-4,10,-2,9,-0.58,4,7,9,0.09
84000,78120,0,0.026,1,0,0,800,2019,6,-10,5,-8,0,-6,10,-4,7,-2,4,-0.486666667,9,8,7,0.07
85000,71400,0,0.032,1,0,0,930,2009,3,-10,4,-8,4,-6,9,-4,10,-2,9,-0.613333333,10,10,9,0.083
85000,77350,0,0.083,1,0,0,1010,2017,2,-10,0,-8,9,-6,9,-4,7,-2,8,-0.566666667,1,6,4,0.091
86500,71795,0,0.084,1,0,0,940,1960,5,-10,8,-8,0,-6,10,-4,2,-2,9,-0.553333333,8,7,4,0.084
89000,75650,1,0.174,1,0,0,1000,1969,2,-10,0,-8,1,-6,9,-4,7,-2,6,-0.34,8,9,4,0.09
89950,75558,1,0.101,1,0,0,670,2012,4,-10,1,-8,10,-6,0,-4,0,-2,4,-0.326666667,2,7,10,0.057
90000,72900,0,0.045,1,0,0,880,1975,5,-10,4,-8,7,-6,0,-4,2,-2,7,-0.393333333,10,1,3,0.078
90000,74700,0,0.081,1,0,0,890,1973,4,-10,7,-8,5,-6,9,-4,8,-2,5,-0.686666667,9,5,6,0.079
90000,79200,0,0.035,1,0,0,660,2017,1,-10,6,-8,5,-6,0,-4,5,-2,5,-0.433333333,5,6,7,0.056
90000,76500,1,0.104,1,0,0,680,2013,3,-10,0,-8,4,-6,1,-4,4,-2,7,-0.226666667,1,1,4,0.058
90000,78300,1,0.148,2,0,0,1080,1969,1,-10,6,-8,6,-6,8,-4,4,-2,0,-0.573333333,7,5,3,0.098
92000,73600,1,0.111,2,0,0,860,2017,1,-10,8,-8,2,-6,10,-4,0,-2,3,-0.54,1,8,5,0.076
95000,82650,1,0.159,1,0,0,900,2017,5,-10,6,-8,6,-6,7,-4,8,-2,1,-0.613333333,1,6,2,0.08
95000,81700,0,0.054,1,0,0,860,1985,6,-10,6,-8,5,-6,10,-4,4,-2,8,-0.64,1,4,10,0.076
95000,78850,0,0.054,1,0,0,1170,2018,1,-10,8,-8,9,-6,8,-4,7,-2,10,-0.826666667,10,1,4,0.107
95000,92150,0,0.083,1,0,0,1060,1988,1,-10,0,-8,3,-6,6,-4,7,-2,9,-0.353333333,9,10,2,0.096
96500,84920,0,0.068,1,0,0,940,1959,6,-10,2,-8,2,-6,8,-4,8,-2,10,-0.453333333,7,3,9,0.084
99000,83160,0,0.068,1,0,0,1060,2018,6,-10,7,-8,9,-6,7,-4,8,-2,3,-0.74,4,9,9,0.096
100000,90000,0,0.082,1,0,0,870,1978,3,-10,2,-8,2,-6,9,-4,1,-2,8,-0.366666667,1,4,8,0.077
100000,91000,1,0.173,1,0,0,890,2014,6,-10,3,-8,6,-6,2,-4,0,-2,5,-0.333333333,9,3,6,0.079
100000,93000,0,0.084,1,0,0,1030,2012,4,-10,10,-8,10,-6,2,-4,5,-2,9,-0.766666667,4,1,7,0.093
100000,83000,0,0.028,1,0,0,960,2009,3,-10,0,-8,6,-6,7,-4,0,-2,4,-0.326666667,9,1,7,0.086
100000,86000,1,0.162,1,0,0,1010,1956,3,-10,0,-8,0,-6,9,-4,6,-2,5,-0.293333333,4,3,9,0.091
100000,97000,0,0.042,1,0,0,760,1982,4,-10,4,-8,8,-6,1,-4,4,-2,2,-0.433333333,2,3,4,0.066
102500,98400,0,0.045,1,0,0,920,2007,4,-10,7,-8,0,-6,5,-4,6,-2,5,-0.446666667,1,6,3,0.082
104950,100752,1,0.121,1,0,0,1270,2019,2,-10,7,-8,8,-6,1,-4,3,-2,9,-0.566666667,6,2,9,0.117
105000,89250,0,0.036,1,0,0,940,1959,6,-10,8,-8,0,-6,7,-4,8,-2,6,-0.553333333,5,6,10,0.084
105000,84000,0,0.014,1,0,0,980,1970,1,-10,9,-8,0,-6,9,-4,2,-2,10,-0.573333333,5,2,1,0.088
105500,99170,1,0.101,1,0,0,1030,2002,3,-10,0,-8,6,-6,5,-4,4,-2,3,-0.333333333,1,7,3,0.093
106000,94340,0,0.016,1,0,0,660,2017,4,-10,7,-8,1,-6,2,-4,8,-2,10,-0.473333333,2,10,9,0.056
107000,99510,1,0.118,1,0,0,770,2018,3,-10,3,-8,2,-6,5,-4,1,-2,4,-0.293333333,9,1,10,0.067
107000,94160,1,0.154,1,0,0,1010,1973,4,-10,2,-8,1,-6,1,-4,9,-2,8,-0.286666667,1,8,8,0.091
109000,106820,1,0.12,1,0,0,680,2011,3,-10,6,-8,2,-6,7,-4,10,-2,3,-0.546666667,2,9,7,0.058
109500,107310,0,0.072,1,0,0,900,2012,5,-10,1,-8,7,-6,3,-4,4,-2,6,-0.373333333,8,10,4,0.08
110000,94600,1,0.157,1,0,0,930,2013,4,-10,4,-8,10,-6,8,-4,3,-2,0,-0.6,6,10,2,0.083
110000,107800,1,0.105,1,0,0,860,2000,3,-10,2,-8,2,-6,10,-4,8,-2,1,-0.433333333,2,10,10,0.076
110000,102300,1,0.148,1,0,0,890,2017,4,-10,9,-8,5,-6,1,-4,8,-2,10,-0.626666667,1,1,1,0.079
110000,89100,1,0.141,1,0,0,740,1990,3,-10,9,-8,3,-6,2,-4,9,-2,5,-0.573333333,1,1,8,0.064
110000,105600,0,0.011,1,0,0,900,1997,5,-10,2,-8,7,-6,4,-4,4,-2,10,-0.453333333,10,4,8,0.08
110000,107800,1,0.186,1,0,0,700,2013,3,-10,9,-8,10,-6,1,-4,0,-2,10,-0.653333333,1,2,7,0.06
110000,107800,0,0.069,1,0,0,1350,2015,1,-10,5,-8,0,-6,5,-4,4,-2,5,-0.353333333,1,4,4,0.125
110000,106700,1,0.112,1,0,0,928,1968,2,-10,5,-8,6,-6,10,-4,4,-2,7,-0.626666667,10,9,5,0.0828
